Jurisdiction,State,Type,Year,Description,Energy type,Source,Date entered
Huron and Erie Counties,OH,Contested project,2022,"Firelands Wind proposed this 300-MW wind farm in Huron and Erie Counties, which faced opposition by the Seneca Creek Anti-Wind Union and individual residents. In the proceeding before the Ohio Power Siting Board local residents raised concerns including water contamination, safety, wildlife and reliability.   The Board approved the project.   However, an appeal has been filed with the Supreme Court of Ohio",Wind,"Michael Harrington, Proposed Wind Farm Divides Community, THE SANDUSKY REGISTER, Aug. 21, 2020; In Re Firelands Wind, 18-1607-EL-BGN, Brief of Local Residents (O.P.S.B. Nov. 20, 2020).; In Re Firelands Wind, 18-1607-EL-BGN, Opinion, Order, and Certificate (O.P.S.B. June 24, 2021).; In Re Firelands Wind, 18-1607-EL-BGN, Notice of Supreme Court Appeal (O.P.S.B. Jan. 14, 2022).",3/15
Clinton County,OH,Contested project,2021,"Yellow Wood Solar Energy Center: Invenergy proposed a 300 MW solar project in Clinton County. At a hearing before the Ohio Power Siting Board (OPSB), citizens raised concerns about the loss of farmland and potential disturbances. The project is moving forward",Solar,"Gary Huffenberger, Members of public speak for, against solar project proposed for southern Clinton County, WILMINGTON NEWS JOURNAL, Oct. 21, 2021.",3/15
Greene County,OH,Contested project,2021,"Kingwood Solar: Developer Vesper Energy has proposed a 175-megawatt solar array in Greene County. The county commission unanimously rejected the proposal for non-conformity with the county’s land use regulations for renewable energy projects, specifically the setback requirements and distance from state parks",Solar,"London Bishop, Giant Kingwood Solar operation opposed by Greene County commission, DAYTON DAILY NEWS, Oct. 28, 2021.",3/15
Shawnee Township,OH,Contested project,2021,"Birch Solar Farm: In Shawnee Township, a 300 MW project was proposed by Lightsource BP. At an Ohio Power Siting Board public hearing, residents voiced concerns about electromagnetic fields, water runoff, wildlife, the destruction of green space, and property devaluation",Solar,"Jim Krumel, Hearing on Solar Farm Brings Crowd, LimaOhio, Nov. 4, 2021.",3/15
Franklin Township,OH,Contested project,2022,"Kensington Solar Project: The Mayor of Summitville, Ohio and a local farmer have expressed concerns to County Commissioners about the proposed Kensington Solar Project, which would consist of solar panel installations on 1,132 acres in Franklin Township, including over visual impacts and over alleged health risks from the solar panel cleaning solution.",Solar,"Deanne Johnson, Commissioners addressed with Summitville solar panel concerns, Morning Journal, Jan. 14, 2022.",3/15
Lake County,OR,Contested project,2021,"Obsidian Solar Center: This 200-MW project has been met with opposition by local residents who argue that the construction of the solar facility will dislocate populations of sage grouse, deer, and elk, and will cause long-term erosion on fragile, dusty land. Local opponents have initiated a Contested Case Proceeding before the Oregon Department of Energy, which issued its approval in December 2021.",Solar,"Oregon Department of Energy, Obsidian Solar Center (visited Mar. 4, 2022), https://www.oregon.gov/energy/facilities-safety/facilities/Pages/OSC.aspx.",3/15
City of Jackson,TN,Contested project,2022,"Jackson Microgrid: A proposed solar project would directly supply energy to a few nearby large industrial companies, supplementing the power they buy from the local power company. The city planning commission approved the project, but the Tennessee Valley Authority (TVA) has expressed opposition and has urged the Tennessee Public Utility Commission (TPUC) to reject the proposal, claiming that the project could weaken the TVA model",Solar,"TVA fights proposed solar cooperative in West Tennessee, AP NEWS, Jan 1, 2022",3/15
City of Manchester,VT,Contested project,2021,"Manchester Solar Project: In September 2021, the Vermont Public Utility Commission denied a certificate to a 500-kilowatt project in Manchester, Vermont, which had been proposed by Manchester-based MHG Solar. The Commission cited aesthetic concerns in its denial after receiving “many public comments in opposition to the project,” many of which focused on aesthetic impacts and flooding concerns.  ",Solar,"Emma Cotton, Commission Denies Manchester Solar Array, Approves Middlebury Project, VTDIGGER, Sept. 20, 2021; see also Bill McKibben, A Thing So ‘Shocking and Offensive’ It Literally Can’t Be Permitted, CRUCIAL YEARS, Sept., 27, 2021. ",3/15
CIty of Castleton,VT,Contested project,2021,"Castleton Solar Project: As of October 2021, some community residents are opposing a proposal for a wind turbine in Castleton, Vermont, claiming that it is against town plans, that it divides communities, and that it will bring noise and environmental issues. This latest proposal follows a 2012 proposal for twenty turbines that the Castleton Select Board unanimously opposed",Wind,"Olivia Lyons, Community raises concerns about proposed wind power projects in Castleton, WCAX3, Oct. 5, 2021. ",3/15
Botetourt County,VA,Contested project,2021,"Rocky Forge Wind: In Botetourt County, Apex Clean Energy has proposed a 75 MW wind project. The Board of Zoning Appeals allowed plans for the project to move forward, overturning the decision of the county zoning administrator who had ruled that the project did not qualify for a statewide extension for projects delayed by the pandemic. The group Citizens for Responsible Energy has filed two lawsuits against the project, raising concerns about its natural resources impact, the impacts of infrasound, and the loss of scenic landscape. The project is moving forward as of October 2021",Wind,"Sam Wall, Apex wins appeal to continue planning wind farm in Botetourt County, THE ROANOKE TIMES, Oct. 12, 2021.",3/15
Charlotte County,VA,Contested project,2021,"Randolph Solar Project: In Charlotte County, developer SolUnesco proposed an 800 MW solar project. A lawsuit aims to dissolve contractual agreements with a landowner who signed a lease agreement. The claimant alleges that since the landowner has dementia and the developer circumvented the landowner’s power of attorney, the agreement is invalid",Solar,"Michael Alachnowicz, Company seeking to build utility-scale solar farm in Charlotte County faces lawsuit, WDBJ, Oct. 12, 2021.",3/15
Offshore,VA,Contested project,2021,"Coastal Virginia Offshore Wind project: Dominion Energy has proposed an offshore wind project of 180 turbines totaling 2.6 GW. In November, the utility filed for approval from the Virginia State Corporation Commission. Lobbyists and politicians have raised concerns about the costs to ratepayers, but the project is continuing",Wind,"Heather Richards, ‘Bloody expensive.’ Major U.S. offshore wind plan hits obstacles, ENERGY WIRE, Oct. 20, 2021.",3/15
Henry County ,VA,Contested project,2021,Henry County Solar: Invenergy proposed a 90 MW solar project called Rocky Ford Solar Energy and Axton Solar proposed an addition to a previously approved solar project in the same vicinity. Both requests were denied by the County Board of Zoning Appeals due to concerns about aesthetic implications and an ordinance that mandates that no more than 2.5% of the land area within a five-mile radius may be used by solar.,Solar,"Bill Wyatt, Board of Zoning Appeals denies two solar farm requests in Axton, MARTINSVILLE BULLETIN, Nov. 29, 2021.",3/15
