ActualOperatingYear,ActualorExpectedCompletionYear,CarbonMonoxideCO,Classification,CoalplantCO2eequivalency,Gas-poweredvehiclesequivalency,GreenhouseGasesCO2e,HazardousAirPollutantsHAPs,HazardousAirPollutantsHAPspotentiallbsperyear,IndustrySector,MortalitycostofadditionalCO2edeaths,NitrogenOxidesNOx,OperatingStatus,OperatingStatusSourceDocuments,OperatingStatusSourceDocuments_OLD,ParticulateMatterPM25,PermittingandEmissionsAccountingNotes,ProjectDescription,ProjectType,Published,ResearchNotes,SocialcostofadditionalCO2eLowerEstimate,SocialcostofadditionalCO2eUpperEstimate,SulfurDioxideSO2,VolatileOrganicCompoundsVOC,created_by,id,id_qaqc,modified_by,project_name,xata,ProductType,ConstructionStatusLastUpdated,ProjectCostmillion,CurrentExpectedOperatingYear,OriginalExpectedOperatingYear,TotalWetlandsAffectedPermanentlyacres,TotalWetlandsAffectedTemporarilyacres,PlasticsInventory,ConstructionStatusLastChecked,PlasticsInventory_ToAdd
2021,2021,7.18,Expansion,,,,,,Natural Gas,,-115.86,Operating,[],,,CM 9/19/22: emissions from permit 161497 application p. 5 table 1-1,Expansion of an existing compressor station as part of the Galveston County Project.,Compressor Station,True," CM 9/19/22: permit 55779 canceled
Florida Gas Transmission Company, LLC (FGT) submitted an alteration request to remove Compression Engine Emission Point Number (EPN) 402 from Permit No. 55779, along with the associated emission rates from the Maximum Allowable Emission Rate Table (MAERT). The reconstructed compression engine will be reauthorized under a permit by rule.  pg. 20, project totals  https://records.tceq.texas.gov/cs/idcplg?IdcService=TCEQ_EXTERNAL_SEARCH_GET_FILE&dID=5077240&Rendition=Web",,,0.01,11.35,Oil and Gas Watch Bot,3945,3945,Louisa Markow,Florida Gas Boling Compressor Station (CS 4) - Galveston County Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-04-08T17:49:02.160465Z', 'version': 5}",,,,,,,,,,
2020,2020,0.0,Expansion,0.0,0.0,0.0,0.0,,Natural Gas,0.0,0.0,Operating,"[{'id': 'm5pek8hgf12u784754jajl9bk0', 'name': '2020.09.23_Index 99 Expansion_Hall Summit In-Service Notification.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 139824, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/figjhf9u410nfen46uta8hcnlc'}]","{'name': None, 'file_name': '2020.09.23_Index 99 Expansion_Hall Summit In-Service Notification.PDF', 'url': 'https://api.oilandgaswatch.org/d/13/6e/136ea6348f704fabbe5ccd67675f35a9.1665584113.pdf'}",0.0,,Expansion of an existing compressor station as part of the Index 99 Expansion Project. Approximately 250 feet of new compressor station pipeline and an accompanying pressure control valve were added.,Compressor Station,True, The only post-construction emissions that will occur according to the EA are fugitive methane emissions  pg 48 https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14815827,0.0,0.0,0.0,0.0,Oil and Gas Watch Bot,3948,3948,Tyler Weiglein,Index 99 Expansion Project - Hall Summit Compressor Station Upgrade,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:17.322202Z', 'version': 47}",,2022-10-12T00:00:00Z,,,,,,,,
,2021/2022,17.28,New,0.05,38496.0,190529.0,2.29,4580.0,Natural Gas,39.0,89.2,Canceled,"[{'id': 'kh2582q14p1s7a9d74uc1376to', 'name': '2021.11.30_PennEast 2020_Notice of Cancellation.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 118000, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/3gms22pmcp7np862ic66ujk3j0'}]","{'name': None, 'file_name': '2021.11.30_PennEast 2020_Notice of Cancellation.PDF', 'url': 'https://api.oilandgaswatch.org/d/ad/ce/adcecc2e7d014858aeeea8cca32cbf88.1638389908.PDF'}",24.14,,"Construction of a new compressor station as part of the PennEast Pipeline Project Phase 1 and 2. PennEast Pipeline Company, LLC announced the cancellation of the project on November 30, 2021.",Compressor Station,True, Values taken from original FEIS  pg 356 (Table 4.10.1-6) https://ferc.gov/sites/default/files/2020-05/Final-Environmental-Impact-Statement_2.pdf,8815098.0,32840560.0,5.47,5.45,Oil and Gas Watch Bot,3949,3949,Louisa Markow,Kidder Compressor Station,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-11-22T03:21:29.566234Z', 'version': 54}",,,,,2021/2022,,,,,
2021,2021,,Expansion,,,,,,Natural Gas,,,Operating,"[{'id': 'dn3cinjh5d5td4ci107db3v9mc', 'name': '2021.12.01_Leidy South_Request for Authorization to Place into Service.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 1575919, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/e3bqpll7ad3c5bcfif71qgp6a0'}]","{'name': None, 'file_name': '2021.12.01_Leidy South_Request for Authorization to Place into Service.PDF', 'url': 'https://api.oilandgaswatch.org/d/44/a8/44a8310f00574643b11dccdf25b15b6a.1646241284.pdf'}",,,"Modification to the certified horsepower (hp) of two existing electric-drive compressor units from a total of 30,000hp to 42,000hp. Because this would involve installing electric-driven compression, this project would not generate combustion-related emissions.",Compressor Station,True, The new compressor at Transco’s Compressor Station 605 would be electric-driven and therefore no modeling was conducted for this station pg 163 https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14833832,,,,,Oil and Gas Watch Bot,3950,3950,Louisa Markow,Compressor Station 605 - Leidy South Expansion Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-04-08T17:49:02.490113Z', 'version': 7}",,2022-03-02T00:00:00Z,,,,,,,,
,2022,247.0,New,0.05,41890.0,207331.0,8.0,16000.0,Natural Gas,42.0,167.0,Canceled,[],,11.0,,Construction of a new compressor station as part of the Creole Trail Pipeline Expansion Project.,Compressor Station,True, Removed (10/12/2020) pg 106 (Table 2.7-5) https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14279861,9592466.0,35736639.0,24.0,27.0,Oil and Gas Watch Bot,3952,3952,Alexandra Shaykevich,Mamou Compressor Station - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-11-22T03:21:30.27424Z', 'version': 52}",,,,,2022,,,,,
2022,2022,10.78,New,0.01,6334.0,31348.0,5.92,11840.0,Natural Gas,6.0,17.07,Operating,"[{'id': '1vobfvmund4thbs34jnm0t9ass', 'name': '2020.10.23_Adelphia_Notice of Commencement of Construction.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 99763, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/j60dkfud754in9d9b3sfs6372s'}, {'id': 'g7g67m30qh7qh8sb8kkv5ftdp8', 'name': '2022.04.08-Adelphia_Notice of Commencement of Partial Service_MH_CS.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 161998, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/128manmfsh22p8mdef5798vhf8'}, {'id': '6su5n7e4fp1h5583qmnlmtiqc8', 'name': '2022.08.19_Adelphia Gateway_Notice of Commencement of Partial Service.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 149223, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/hpopmit3896kb0903e5dddp61k'}, {'id': 'm8bo1shg055avd68t55c100gmg', 'name': '2022.09.08_Adelphia Gateway Project_Notice of Commencement of Service.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 147126, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/qnkoo03c4h49t40k9g9l1ag2og'}]","{'name': None, 'file_name': '2022.04.08-Adelphia_Notice of Commencement of Partial Service_MH_CS.pdf', 'url': 'https://api.oilandgaswatch.org/d/eb/44/eb449444075c4505a2074d5aa69929b5.1649775309.pdf'}, {'name': None, 'file_name': '2020.10.23_Adelphia_Notice of Commencement of Construction.PDF', 'url': 'https://api.oilandgaswatch.org/d/ec/4d/ec4de80ce7e84bd49ae163b0149249f7.1646408719.pdf'}, {'name': None, 'file_name': '2022.08.19_Adelphia Gateway_Notice of Commencement of Partial Service.pdf', 'url': 'https://api.oilandgaswatch.org/d/f5/ef/f5efde0b438240dc8c017f58a8655a3b.1661199121.pdf'}, {'name': None, 'file_name': '2022.09.08_Adelphia Gateway Project_Notice of Commencement of Service.pdf', 'url': 'https://api.oilandgaswatch.org/d/3f/1b/3f1b7b8528e94286828567cdf372f6ef.1695053747.pdf'}",1.91,"23-0225 (issued 4/19/2019, extended 10/2/2020); FERC Docket No. CP18-46; NOx, VOCs, HAPs, CO taken from PA Bulletin; remaining emissions increases from FERC EA (CP18-46), page 144, Table B-21",Construction of a new compressor station (with a design throughput of 250 million cubic feet per day) as part of the Adelphia Gateway Pipeline Project.,Compressor Station,True,"9/8/2022 adelphia notice says marcus hook compressor is fully operational

Status Report No. 36 under CP18-46, Reporting Period: September 11, 2021 through September 24, 2021: https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20210928-5162&optimized=false Fugitive emissions include venting / blowdown emissions.  pg 144 (Table B-21) https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14734403

Jobs nos. taken from FERC EA (CP18-46), pg. 30. ""Construction of the Adelphia Gateway Project would require a total estimated peak temporary work force of about 515 people; between 7 and 10 permanent workers would be required for operation of the Project.""

Project total = 515 - (sum of both compressors, 50 + 50 max. temporary employees) = 415 for the Adelphi Gateway Project",1450360.0,5403303.0,0.11,16.69,Oil and Gas Watch Bot,3953,3953,Lottie Mitchell,Marcus Hook Compressor - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:19.426183Z', 'version': 50}",,2023-09-18T00:00:00Z,,,,,,,,
,2022,70.59,New,0.07,55984.0,277088.0,3.75,7500.0,Natural Gas,57.0,42.54,Canceled,"[{'id': '2kflghc7pd5cpclacuehhmg3f8', 'name': '2018.12.7_Atlantic Coast Pipeline_Letter Halting Pipeline Construction.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 28986, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/b6j0jqotv51hlbt2u2obha15vo'}, {'id': 'jouerot9a530d2fi001mcoipqs', 'name': '2020.07.05_Atlantic Coast Pipeline_Cancellation Announcement.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 189080, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/09f5uou8691dj6pbk1evhugq18'}]","{'name': None, 'file_name': '2020.07.05_Atlantic Coast Pipeline_Cancellation Announcement.pdf', 'url': 'https://api.oilandgaswatch.org/d/8f/af/8faf6fbc045c40d2bd595a3ffb6cb8bf.1634835330.pdf'}, {'name': None, 'file_name': '2018.12.7_Atlantic Coast Pipeline_Letter Halting Pipeline Construction.pdf', 'url': 'https://api.oilandgaswatch.org/d/22/c4/22c441c97c8e4d07b036446f27cfe755.1634835444.pdf'}",42.94,Initial application for permit to construct submitted on 02/25/2016. Permit to construct (R13-3271) issued on 07/21/2016. Application for administrative update to the existing permit R13-3271 submitted on 03/20/2017. Modified permit to construct (R13-3271A) issued on 05/18/2017.; Emissions (tpy) taken from Fact Sheet pg 9; GHGs from 13-3271A permit application pg 10.,"Construction of a new 55,015 horsepower compressor station as part of the Atlantic Coast Pipeline project.",Compressor Station,True,"Cancelled. On December 7, 2018, the U.S. Fourth Circuit Court issued a ruling that reverses a key federal approval for the Atlantic Coast Pipeline Project. Dominion voluntarily stopped construction across all three states (West Virginia, Virginia and North Carolina). The cancellation of the Atlantic Coast Pipeline was announced on 07/05/2020. Removed (10/12/2020) 749 (Table 4.11.1-7) https://www.ferc.gov/industries/gas/enviro/eis/2017/07-21-17-FEIS/volume-I.pdf

Company press release:
https://news.dominionenergy.com/2020-07-05-Dominion-Energy-and-Duke-Energy-Cancel-the-Atlantic-Coast-Pipeline

https://atlanticcoastpipeline.com/recent-updates/default.aspx",12819874.0,47760315.0,7.08,4.47,Oil and Gas Watch Bot,3954,3954,Alexandra Shaykevich,Marts Compressor - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-11-22T03:21:31.098622Z', 'version': 55}",,,,,2022,,,,,
2021,2021,-87.29,Expansion,0.01,5223.0,25853.0,,,Natural Gas,5.0,-776.06,Operating,[],,-8.5,,Expansion of an existing compressor station as part of the McComb Compressor Station Reliability Project. The expansion involves replacing on compressor unit and placing three of the six compressor units at the station on standby.,Compressor Station,True, pg 17 (Table 4)  https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14837810,1196126.0,4456156.0,0.05,-33.98,Oil and Gas Watch Bot,3955,3955,Lottie Mitchell,McComb Compressor Station Reliability Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:20.890954Z', 'version': 45}",,,,,,,,,,
,2023,0.0,Expansion,0.0,0.0,0.0,0.0,,Natural Gas,0.0,0.0,Proposed,[],,0.0,,Expansion of an existing compressor station as part of the Midwest Market Access Project,Compressor Station,True," According to EA pg 7, ""Air emissions from operation of the modified Grabham Compressor Station are not expected to increase over current levels"" pg 7  https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14827543",0.0,0.0,0.0,0.0,Oil and Gas Watch Bot,3956,3956,Louisa Markow,Midwest Market Access Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:21.647275Z', 'version': 45}",,,,2023,,,,,,
,2024,0.3,New,0.0,53.0,264.0,0.1,200.0,Natural Gas,0.0,0.1,Proposed,"[{'id': 'dgo39j3k1p6rr0f8qc6nds8hf0', 'name': '2022.08.09_Golden Pass LNG_Notice to Proceed with Construction.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 271919, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/5secui8tr560rc79g404rjogi0'}]","{'name': None, 'file_name': '2022.08.09_Golden Pass LNG_Notice to Proceed with Construction.pdf', 'url': 'https://api.oilandgaswatch.org/d/0b/3c/0b3c37f5fc9746a3aa803a0bc0271622.1678293072.pdf'}",0.1,,"Construction of a new compressor station consisting of two 5,583 horsepower electric engines within the Golden Pass LNG Terminal property line, which would connect the export terminal directly to the Golden Pass LNG Bidirectional Pipeline.",Compressor Station,True,"Based on Construction Status Reports (through No. 101), doesn't seem they have broken ground yet Emissions are the sum of individual emissions units. Air Quality Permit 116055 and the Prevention of Significant Deterioration Air Quality Permit PSDTX1386 for the Terminal Expansion and MP 1 Compressor Station were issued by the Texas Commission on Environmental Quality (TCEQ) on January 16, 2015, authorizing construction and operation of the Terminal Expansion. On September 11, 2015, the TCEQ issued Permit GHGSDTX100 (the final air permit for the Terminal Expansion). (FERC EIS, pg. 29) pg 242 (Table 4.11.1-5) https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14481269",12214.0,45504.0,0.1,0.1,Oil and Gas Watch Bot,3957,3957,Tyler Weiglein,Sabine Compressor (GPX MP 01) - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:22.3327Z', 'version': 47}",,2023-03-08T00:00:00Z,,2024,,,,,,
2022,2022,81.0,New,0.04,34480.0,170656.21,5.89,11780.0,Natural Gas,35.0,71.0,Operating,"[{'id': 'o6j7j8saa17flcmgopa2t5uv44', 'name': '2022.12.07_Golden Pass LNG_Notice to Proceed with Construction of MP69 and MP33 CS.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 275567, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/6v83biqtl503v0d7ni288pksi4'}]","{'name': None, 'file_name': '2022.12.07_Golden Pass LNG_Notice to Proceed with Construction of MP69 and MP33 CS.pdf', 'url': 'https://api.oilandgaswatch.org/d/00/70/00703d82b4774bb29c5784e4d77a76b5.1678293684.pdf'}",0.43,"166661 (issued 10/19/2021) - Criteria taken from technical review; HAPs = TAPs. GHGs from permit application, pg 60","Construction of a new compressor station as part of the Golden Pass LNG Pipeline project, which would consist of three gas-fired turbines and two gas-fired heaters  each with a capacity of 1.86 million British thermal units per hour.",Compressor Station,True,"CM 4/3/24: updated op status to operating, PBR tech review from 9/21/23 describes facility as operating

TW 03/08/23
- Based on what I could find, it does not seem that they have begun construction (broken ground) yet 20-53745-PIR submitted 5/27/2020

pg 248 (Table 4.11.1-7) https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14481269",7895654.0,29415183.0,4.09,15.13,Oil and Gas Watch Bot,3958,3958,CM,Vidor Compressor - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:23.000325Z', 'version': 64}",,2024-04-03T19:59:28.954Z,,2022,,,,,,
,2022,222.87,New,0.11,92608.0,458354.0,4.126,8252.0,Natural Gas,94.0,168.99,Under Construction,"[{'id': 'fk0boml5vh2cj90tffvop7ng8s', 'name': '2020.10.02_GPX Pipeline Amendment_MP66-69 Project Map.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 1164055, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/1c5f77mudp6r35vl3h3dd8jpck'}, {'id': '3i12t5cns51tt96hb7bbkhi61o', 'name': '2022.12.07_Golden Pass LNG_Notice to Proceed with Construction of MP69 and MP33 CS.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 275567, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/2ga8cqqil11sd1q1chd9kfomeg'}, {'id': 'v6qkuq8u3t2kf10patluqvq9kk', 'name': '2024.05.01_Golden Pass LNG_MP 69 CS Free Flow Line In-Service Notification.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 600, 'uploadUrlTimeout': 86400, 'size': 253712, 'version': 0, 'url': 'https://us-east-1.storage.xata.sh/94d80851h553n165e7rft71nk8'}]","{'name': None, 'file_name': '2020.10.02_GPX Pipeline Amendment_MP66-69 Project Map.pdf', 'url': 'https://api.oilandgaswatch.org/d/2d/ea/2dea764f875e4231bda26d6dce6d0816.1639150511.pdf'}, {'name': None, 'file_name': '2022.12.07_Golden Pass LNG_Notice to Proceed with Construction of MP69 and MP33 CS.pdf', 'url': 'https://api.oilandgaswatch.org/d/3f/72/3f72dd3494064eaaa2418c241e59701f.1678293838.pdf'}",1.13,"CM 10/5/2022: criteria emissions checked with final TV permit
AS 2/16/2022 - criteria emissions & HAPs updated with values in public notice/draft permit package; GHGs taken from initial TV app 0520-00515-V0 (application submitted 3/19/2021)",Construction of a new compressor station as part of the Golden Pass LNG Bidirectional Pipeline (GPX Project).,Compressor Station,True,"CM 4/3/24: under construction according to permit app https://edms.deq.louisiana.gov/app/doc/view?doc=14200427

TW 03/08/23
- Based on what I could find, it does not seem that they have begun construction (broken ground) yet

CM 10/5/2022: no commencement of construction notice available on LDEQ
Construction expected to begin 1/1/2022 - operations in 2022 (permit app pg 13) ",21206406.0,79004256.0,11.11,35.32,Oil and Gas Watch Bot,3959,3959,CM,Starks Compressor - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:23.674421Z', 'version': 62}",,2024-04-03T20:33:33.554Z,,2024,2022,,,,,
,2023,57.4,New,0.03,28475.0,140935.0,0.71,1420.0,Natural Gas,29.0,23.0,On Hold,[],,18.94,,Construction of a new compressor station as part of the Northeast Supply Enhancement Project,Compressor Station,True, Removed from public inventory; project on hold (https://www.naturalgasintel.com/articles/122027-new-york-new-jersey-again-reject-northeast-supply-enhancement-project) pg 478 (Table 4.10.1-5) https://www.ferc.gov/industries/gas/enviro/eis/2019/01-25-19-FEIS.asp,6520560.0,24292282.0,3.07,10.17,Oil and Gas Watch Bot,3960,3960,Tyler Weiglein,NE Supply Compressor Station 206,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:24.457551Z', 'version': 46}",,2022-10-12T00:00:00Z,,2023,,,,,,
2020,2020,0.0,Expansion,0.0,26.0,128.0,0.0,,Natural Gas,0.0,0.0,Operating,"[{'id': 'arat5pjvg94hn01k1u449s51p4', 'name': '2021.09.08_New Lisbon 2020 Expansion_Construction Inspection Report.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 1395301, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/nqf0hsaosd6vtdujreiqgr3mfk'}]","{'name': None, 'file_name': '2021.09.08_New Lisbon 2020 Expansion_Construction Inspection Report.PDF', 'url': 'https://api.oilandgaswatch.org/d/fa/d7/fad79fac9ca846d0bcc0f40ef3485bbc.1634740246.PDF'}",0.0,Emissions taken from description provided on pg. 16 of FERC Environmental Assessment.,Expansion of an existing electric motor driven compressor station as part of the New Lisbon 2020 Expansion Project.,Compressor Station,True,"According to FERC Construction Inspection Report conducted on 08/23/2021 and filed on 09/08/2021, all construction activities are complete, and the project was placed into service in November 2020. According to EA pg 16, ""The electric motor-driven compressors at the modified Spring Green Compressor Station would not result in a direct source of emissions during normal operation. The compressor addition would, however, increase the station’s annual fugitive releases of VOCs and carbon dioxide equivalent emissions from 0.8 and 148 tons to approximately 1.6 and 276 tons, respectively."" pg 16 https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14832284

LM 10/14/21: According to FERC construction inspection report conducted on August 23, 2021 and filed on 09/08/2021, all construction activities are complete, and the project was placed into service in November 2020. Changed status to operating.

No wetlands impacts

According to pg. 2 of FERC Weekly Status Report No. 55, this is an electric motor driven compressor station, and therefore no state air permit authorizations are required.",5922.0,22063.0,0.0,0.8,Oil and Gas Watch Bot,3961,3961,Louisa Markow,Spring Green Compressor Station,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:25.302845Z', 'version': 47}",,,,,,,,,,
,2022,31.1,New,0.03,26113.0,129243.0,3.42,6840.0,Natural Gas,26.0,19.7,Canceled,[],,18.4,Air permit no. 10466R00 application submitted on 02/19/2018. Final permit issued on 02/27/2018.; Emissions taken from pg. 749 of FEIS.,Construction of a new compressor station as part of the Atlantic Coast Pipeline and Supply Header Project.,Compressor Station,True,"Cancelled. On December 7, 2018, the U.S. Fourth Circuit Court issued a ruling that reverses a key federal approval for the Atlantic Coast Pipeline Project. Dominion voluntarily stopped construction across all three states (West Virginia, Virginia and North Carolina). The cancellation of the Atlantic Coast Pipeline was announced on 07/05/2020. Removed (10/12/2020) 749 (Table 4.11.1-7) https://www.ferc.gov/industries/gas/enviro/eis/2017/07-21-17-FEIS/volume-I.pdf",5979613.0,22276989.0,3.1,21.8,Oil and Gas Watch Bot,3962,3962,Alexandra Shaykevich,Northampton Compressor - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-11-22T03:21:31.736492Z', 'version': 52}",,,,,2022,,,,,
2021,2021,70.76,Expansion,0.03,24290.0,120220.0,0.98,1960.0,Natural Gas,25.0,52.83,Operating,"[{'id': 'l4ga6vgh3t2qdcgsucqi489ssk', 'name': '2022.08.02_North Baja Express_Notice of Commencement of Construction.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 198994, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/cgkvll8d4h12t1trtp3698lv4g'}, {'id': 'ohvgbfnn3517v9vgfums0cm058', 'name': '2023.05.01_North Baja XPress_Partial In-Service Request - Ehrenberg CS.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 2360407, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/ssba8hvp450hra69kel68dc00k'}, {'id': 'k7juqcb6hh03337v9jbo7qd6n8', 'name': '2023.05.03_North Baja XPress_Partial In-Service Authorization - Ehrenberg CS.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 266258, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/nn39d83hnh6756uvjjqjp7ftg4'}]","{'name': None, 'file_name': '2022.08.02_North Baja Express_Notice of Commencement of Construction.PDF', 'url': 'https://api.oilandgaswatch.org/d/3e/01/3e015743424f4f3480a732a567b73e22.1659720973.pdf'}, {'name': None, 'file_name': '2023.05.01_North Baja XPress_Partial In-Service Request - Ehrenberg CS.pdf', 'url': 'https://api.oilandgaswatch.org/d/3d/b7/3db703e34f924c1388a714f2fa812001.1683296842.pdf'}, {'name': None, 'file_name': '2023.05.03_North Baja XPress_Partial In-Service Authorization - Ehrenberg CS.pdf', 'url': 'https://api.oilandgaswatch.org/d/62/19/62193472d9ce41039f8d221b9d497f9b.1683296849.pdf'}",6.3,LM 7/11/2022: Emissions taken from pg. 29 of air permit application,Expansion of an existing compressor station as part of the North Baja Xpress Project.,Compressor Station,True," Emissions reflect subtotal project sources only. Installation of one new 31,900 ISO-horsepower Solar Turbine Titan 250 compressor unit and the restaging of two existing 7,700 ISO-horsepower Solar Taurus 60 turbine compressor units to provide second-stage compression in series flow at the existing Ehrenberg Compressor Station.  pg 60 (Table 7) https://elibrary.ferc.gov/eLibrary/filelist?document_id=14890249&optimized=false",5562151.0,20721738.0,0.68,13.3,Oil and Gas Watch Bot,3963,3963,Tyler Weiglein,North Baja Xpress Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:26.792075Z', 'version': 49}",,2023-06-09T00:00:00Z,,,,,,,,
,2023,,Expansion,0.0,40.0,200.0,,,Natural Gas,0.0,,On Hold,[],,,,Expansion of existing Compressor Station 200 as part of the Northeast Supply Enhancement Pipeline Project.,Compressor Station,True," Values are only fugitive emissions from the emergency generator, piping and valves (no emissions table provided as CS 200 will be electric-driven and no operational air permit is required) pg 478  https://www.ferc.gov/industries/gas/enviro/eis/2019/01-25-19-FEIS.asp",9253.0,34473.0,,0.28,Oil and Gas Watch Bot,3964,3964,Tyler Weiglein,Compressor Station 200 - NE Supply Enhancement Expansion Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:27.480048Z', 'version': 46}",,2022-10-12T00:00:00Z,,2023,,,,,,
